Country/Region,Infected cases,Deaths,Recovered,Active Cases,Serious cases,Total cases/1M pop.,Deaths/1M pop,Total Tests Conducted,%Test Positive,Tests/1M pop.,Pop. Density (per km2),Avg. Wind  Speed (m/s),Avg. Annual Temp. (C.),Avg. Annual Precipitation (mm/yr.),%Pop. High Income,%Pop.  Upper-middle Income,%Pop. Middle Income,%Pop. Low Income,%Pop. Poor,%Pop. Age <=14,%Pop. Age 15-64,%Pop. Age >=65,Current Lockdown Status (Y/N)
World,2250709,154256,572105,1524348,57136,289,19.8,,,,,,,,,,,,,,,,
USA,710021,37158,60510,612353,13509,2145,112,3574984,19.86081616,10800,36,3.69,8.55,715,55.68035944,31.8677792,7.413350449,3.433889602,1.604621309,18.9,65.7,15.4,Y
Spain,190839,20002,74797,96040,7371,4082,428,930230,20.51524892,19896,94,3.23,13.3,636,27.19486081,49.46466809,16.27408994,5.56745182,1.498929336,14.7,65.9,19.4,Y
Italy,172434,22745,42727,106962,2812,2852,376,1244108,13.86005074,20577,206,2.83,13.45,832,34.84848485,45.62289562,14.30976431,3.703703704,1.515151515,13.5,63.5,23,Y
France,147969,18681,34420,94868,6027,2267,286,463662,31.91311775,7103,119,3.7,10.7,867,37.82542113,51.30168453,9.188361409,1.378254211,0.153139357,18.1,62.2,19.7,Y
Germany,141397,4352,83114,53931,5013,1688,52,1728357,8.181006586,20629,240,3.69,8.5,700,59.53545232,35.33007335,4.523227384,0.366748166,0.122249389,13.1,65.5,21.5,Y
UK,108692,14576,,93772,1559,1601,215,438991,24.75950532,6467,281,5.14,8.45,1220,42.0221169,42.33807267,12.00631912,2.52764613,1.105845182,17.7,63.8,18.5,Y
China,82719,4632,77994,93,85,57,3,,,,153,3.62,6.95,645,0.543114352,4.441633807,17.49869801,65.56059817,11.96339558,17.7,71.7,10.6,Y
Iran,79494,4958,54064,20472,3563,946,59,319879,24.85127189,3808,52,3.58,17.25,228,0.795755968,7.559681698,27.18832891,62.73209549,1.591511936,23.7,70.9,5.4 ,N
Turkey,78546,1769,8631,68146,1845,931,21,558413,14.06593328,6621,110,2.93,11.1,593,1.915184679,14.50068399,35.29411765,46.374829,1.915184679,25,66.9,8.2 ,Y
Belgium,36138,5163,7961,23014,1140,3118,445,139387,25.92637764,12027,383,4.04,9.55,847,0,0,0,0,0,17.1,64.3,18.6,Y
Brazil,34221,2171,14026,18024,6634,161,10,62985,54.33198381,296,25,2.08,24.95,1761,5.383443372,15.89639411,27.83138649,43.6262062,7.313357034,21.7,69.7,8.6 ,Y
Russia,32008,273,2590,29145,8,219,2,1718019,1.86307602,11773,9,3.21,?5.10,460,8.111888112,35.59440559,37.06293706,19.16083916,0,17.6,68.2,14.2,Y
Canada,31927,1310,10543,20074,557,846,35,507701,6.288543848,13452,4,3.82,?5.35,537,56.55976676,36.1516035,6.12244898,1.166180758,0.29154519,16,67,17,N
Netherlands,30449,3459,250,26740,1279,1777,202,154911,19.65580236,9041,508,4.58,9.25,778,67.66467066,29.34131737,2.395209581,0.598802395,0,16.4,64.8,18.8,Y
Switzerland,27078,1327,16400,9351,386,3129,153,206400,13.11918605,23849,219,3.33,5.5,1537,,,,,,14.9,66.7,18.4,N
Portugal,19022,657,519,17846,222,1866,64,234207,8.121875093,22969,111,3.17,15.15,854,,,,,,13.6,64.9,21.5,Y
Austria,14595,431,9704,4460,227,1621,48,169272,8.622217496,18795,109,3.42,6.35,1110,,,,,,14.1,66.7,19.2,Y
India,14352,486,2041,11825,,10,0.4,335123,4.282606685,243,464,2.65,23.65,1083,0.090075336,0.597772683,2.636750737,76.85063872,19.81657386,27.8,66.2,6.0 ,Y
Ireland,13980,530,77,13373,294,2831,107,90646,15.4226331,18358,72,5.57,9.3,1118,36.95652174,50,10.86956522,2.173913043,0,21.6,64.4,13.9,Y
Peru,13489,300,6541,6648,137,409,9,127513,10.57852925,3867,26,1.56,19.6,1738,1.689189189,10.81081081,24.66216216,54.39189189,8.108108108,27.4,65.5,7.2 ,Y
Sweden,13216,1400,550,11266,523,1309,139,74600,17.71581769,7387,25,3.27,2.1,624,,,,,,17.5,62.5,19.9,N
Israel,12982,151,3126,9705,168,1500,17,187250,6.932977303,21634,400,3.09,19.2,435,21.79487179,41.02564103,21.79487179,15.38461538,0,27.9,60.4,11.7,Y
S. Korea,10653,232,7937,2484,55,208,5,546463,1.9494458,10659,527,3.02,11.5,1274,,,,,,13.5,72.6,13.9,N
Japan,9787,190,935,8662,193,77,2,100703,9.718677696,796,347,3.03,11.15,1668,,,,,,12.9,60.1,27,Y
Chile,9252,116,3621,5515,384,484,6,103873,8.907030701,5434,26,4.72,8.45,1522,8.092485549,23.12138728,34.10404624,33.52601156,1.734104046,20.3,68.6,11.1,Y
Ecuador,8450,421,838,7191,168,479,24,27868,30.32151572,1580,71,1.57,21.85,2274,1.973684211,9.868421053,21.05263158,60.52631579,7.236842105,28.4,64.5,7.1 ,Y
Poland,8379,332,866,7181,160,221,9,179654,4.663965178,4747,124,3.7,7.85,600,2.077922078,21.55844156,46.23376623,30.12987013,0,14.8,68.4,16.8,Y
Romania,8067,411,1508,6148,258,419,21,85805,9.401550026,4460,84,2.9,8.8,637,0,1.990049751,25.37313433,72.13930348,0.995024876,15.3,66.9,17.9,Y
Saudi Arabia,7142,87,1049,6006,74,205,2,150000,4.761333333,4309,16,4.03,24.65,59,,,,,,25.2,71.5,3.3 ,Y
Denmark,7073,336,3389,3348,93,1221,58,87024,8.127642949,15024,137,4.89,7.5,703,73.21428571,25,1.785714286,0,0,16.5,63.8,19.7,Y
Pakistan,7025,135,1765,5125,46,32,0.6,84704,8.29358708,383,287,3.1,20.2,494,0,0.454029512,1.986379115,79.45516459,18.0476731,34.8,60.7,4.5 ,Y
Norway,6937,161,32,6744,63,1280,30,136236,5.091899351,25130,15,4.28,1.5,1414,76,20,2,0,0,17.8,65.4,16.8,Y
Mexico,6875,546,2125,4204,207,53,4,40091,17.14848719,311,66,2.51,21,758,1.926298157,10.21775544,25.7118928,59.12897822,3.015075377,26.7,66.5,6.9 ,N
Australia,6560,67,4132,2361,57,257,3,398066,1.647967925,15611,3,3.81,21.65,534,50.22421525,42.60089686,5.829596413,0.896860987,0.448430493,19,65.5,15.5,Y
Czechia,6549,173,1174,5202,82,612,16,154307,4.244136689,14409,139,3.17,7.55,677,12.38095238,65.71428571,19.04761905,3.80952381,0,15.4,65.6,19,Y
UAE,6302,37,1188,5077,1,637,4,767000,0.821642764,77550,118,3.7,27,78,,,,,,13.9,85,1.1 ,Y
Indonesia,5923,520,607,4796,,22,2,37134,15.950342,136,151,1.49,25.85,2702,0,0.73831009,5.291222313,75.92288761,18.04757998,27.4,67.3,5.3 ,Y
Philippines,5878,387,487,5004,1,54,4,48171,12.20236242,440,368,2.58,25.85,2348,0.210304942,3.259726604,10.41009464,71.92429022,14.1955836,31.7,63.5,4.8 ,Y
Serbia,5690,110,534,5046,120,651,13,32566,17.47221028,3727,100,2.97,10.55,,0,12.5,45.83333333,43.05555556,0,16.5,66.2,17.4,Y
Malaysia,5251,86,2967,2198,51,162,3,96695,5.430477274,2988,99,1.31,25.4,2875,8.333333333,28.47222222,30.90277778,31.94444444,0,24.3,69.4,6.3 ,Y
Singapore,5050,11,708,4331,22,863,2,94796,5.327228997,16203,8358,2.28,26.45,2497,,,,,,15,72.1,12.9,Y
Belarus,4779,42,342,4395,65,506,4,86813,5.504935897,9187,47,3.49,6.15,618,1.052631579,27.36842105,53.68421053,17.89473684,0,16.7,68.5,14.8,N
Qatar,4663,7,464,4192,37,1619,2,58328,7.994445206,20245,248,4.1,27.15,74,,,,,,13.9,84.8,1.3 ,Y
